,Entity,Code,Year,Annual CO2 emissions (per capita),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
564,Bulgaria,BGR,2015,6.7052,1.383,1.452,5.661,0.270185
565,Bulgaria,BGR,2016,6.3622,1.386,1.425,3.942,0.353614
566,Bulgaria,BGR,2017,6.6994,1.402965,1.504064,2.828103,0.395981
567,Bulgaria,BGR,2018,6.1883,1.342775,1.318123,5.146578,1.5921
568,Bulgaria,BGR,2019,6.0317,1.4425,1.317,2.9658,1.8311
569,Bulgaria,BGR,2020,5.3888,1.497319069,1.47723988,2.951120825,1.964135979
597,Canada,CAN,1992,16.4227,0.002052632,0.059,315.1746545,4.465
598,Canada,CAN,1993,16.2531,0.002052632,0.059,322.213898,4.817
599,Canada,CAN,1994,16.5715,0.002052632,0.059,327.8555808,5.733
600,Canada,CAN,1995,16.8341,0.003842105,0.059,334.0597343,7.137865803
601,Canada,CAN,1996,17.211,0.005894737,0.062,354.5920747,7.5285148
602,Canada,CAN,1997,17.5265,0.006947368,0.062,348.6796212,8.16821952
603,Canada,CAN,1998,17.6199,0.010105263,0.062,330.8699253,8.987253723
604,Canada,CAN,1999,17.9434,0.013263158,0.162,345.0007828,8.943148172
605,Canada,CAN,2000,18.5218,0.016421053,0.264,356.7600778,8.917042302
606,Canada,CAN,2001,18.1037,0.019578947,0.329,331.5210293,9.672149201
607,Canada,CAN,2002,18.111,0.022736842,0.405,349.2746394,10.04610406
608,Canada,CAN,2003,18.4941,0.022789474,0.69,336.1393646,9.417294047
609,Canada,CAN,2004,18.254,0.014263158,0.945,338.3983606,9.804526316
610,Canada,CAN,2005,17.9035,0.018473684,1.552,361.9557495,9.154255789
611,Canada,CAN,2006,17.5618,0.022684211,2.448,352.8872859,8.937625263
612,Canada,CAN,2007,18.058,0.028947368,2.977206,367.6214596,8.990656842
613,Canada,CAN,2008,17.3788,0.035,3.788514141,377.4877303,7.978966316
614,Canada,CAN,2009,16.1977,0.109,6.641651515,368.6874051,8.942056842
615,Canada,CAN,2010,16.3644,0.255,8.724191919,351.384803,10.29755789
616,Canada,CAN,2011,16.4993,0.572,10.18857374,375.7237242,10.21378421
617,Canada,CAN,2012,16.301,0.881,11.31148788,380.2671364,10.91381895
618,Canada,CAN,2013,16.2537,1.499,11.14544343,391.7888717,11.03561053
619,Canada,CAN,2014,15.9981,2.12,12.8170697,382.5013788,9.795245263
620,Canada,CAN,2015,15.9066,2.895,26.96639091,382.1932566,9.987178947
621,Canada,CAN,2016,15.3799,4.032322222,30.93311717,385.4324253,11.35952316
622,Canada,CAN,2017,15.5004,3.573738384,31.51361515,394.5873848,6.56206
623,Canada,CAN,2018,15.6299,3.796969697,33.14446566,385.8939616,10.54160526
624,Canada,CAN,2019,15.5673,4.216972727,32.6596697,379.6689263,10.26202105
625,Canada,CAN,2020,14.1969,4.424325253,36.10247467,384.6719359,10.69488946
673,Chile,CHL,2012,4.5794,0.00034039,0.40838745,20.16202386,5.983173515
674,Chile,CHL,2013,4.6559,0.00675656,0.545075566,19.90721056,6.896006202
675,Chile,CHL,2014,4.3681,0.458712984,1.44312018,23.0450776,4.989873005
676,Chile,CHL,2015,4.5536,1.360100279,2.11464801,23.62150692,5.566129616
677,Chile,CHL,2016,4.6346,2.5502637,2.451839459,19.69072697,6.722216022
678,Chile,CHL,2017,4.5503,3.895948315,3.625559357,21.32573088,7.449310113
679,Chile,CHL,2018,4.5068,5.118720829,3.587894717,23.36676918,9.157251969
680,Chile,CHL,2019,4.5446,6.300226399,4.895221294,21.44032717,9.546549543
681,Chile,CHL,2020,4.2462,7.614843515,5.625540663,20.65732844,10.33838395
707,China,CHN,1990,2.1114,0.002,0.002020202,126.7439726,0.064
708,China,CHN,1991,2.1847,0.002,0.009090909,124.6889516,0.064
709,China,CHN,1992,2.263,0.003,0.131313131,130.6860774,0.113
710,China,CHN,1993,2.3971,0.004,0.212121212,151.8461646,0.117
711,China,CHN,1994,2.5203,0.005,0.383838384,167.428969,0.46
712,China,CHN,1995,2.706,0.007,0.616161616,190.58,3.014
713,China,CHN,1996,2.7989,0.009,0.093939394,187.97,1.533
714,China,CHN,1997,2.7814,0.011,0.197979798,195.98,2.722
715,China,CHN,1998,2.6419,0.014,0.355555556,198.89,2.48
716,China,CHN,1999,2.6144,0.017,0.473737374,196.58,2.52
717,China,CHN,2000,2.6649,0.022,0.58989899,222.41,2.537
