,Unnamed: 0_x,Entity,Code,Year,Annual CO2 emissions (per capita),Renewable electricity per capita (kWh),Unnamed: 0_y,Renewables (% sub energy),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
183,1088,Canada,CAN,2011,16.4993,11426.162,616,27.302,0.572,10.18857374,375.7237242,10.21378421
184,1089,Canada,CAN,2012,16.301,11497.899,617,27.651,0.881,11.31148788,380.2671364,10.91381895
185,1090,Canada,CAN,2013,16.2537,11902.301,618,27.624,1.499,11.14544343,391.7888717,11.03561053
186,1091,Canada,CAN,2014,15.9981,11626.74,619,26.847,2.12,12.8170697,382.5013788,9.795245263
187,1092,Canada,CAN,2015,15.9066,11592.801,620,27.471,2.895,26.96639091,382.1932566,9.987178947
188,1093,Canada,CAN,2016,15.3799,11747.264,621,28.22,4.032322222,30.93311717,385.4324253,11.35952316
189,1094,Canada,CAN,2017,15.5004,11766.551,622,28.163,3.573738384,31.51361515,394.5873848,6.56206
190,1095,Canada,CAN,2018,15.6299,11571.277,623,27.465,3.796969697,33.14446566,385.8939616,10.54160526
191,1096,Canada,CAN,2019,15.5673,11349.858,624,26.971,4.216972727,32.6596697,379.6689263,10.26202105
192,1097,Canada,CAN,2020,14.1969,11489.275,625,28.999,4.424325253,36.10247467,384.6719359,10.69488946
193,1208,Chile,CHL,2012,4.5794,1354.57,673,16.677,0.00034039,0.40838745,20.16202386,5.983173515
194,1209,Chile,CHL,2013,4.6559,1423.327,674,16.909,0.00675656,0.545075566,19.90721056,6.896006202
195,1210,Chile,CHL,2014,4.3681,1566.532,675,18.754,0.458712984,1.44312018,23.0450776,4.989873005
196,1211,Chile,CHL,2015,4.5536,1583.251,676,19.894,1.360100279,2.11464801,23.62150692,5.566129616
197,1212,Chile,CHL,2016,4.6346,1619.522,677,18.129,2.5502637,2.451839459,19.69072697,6.722216022
198,1213,Chile,CHL,2017,4.5503,1621.51,678,20.678,3.895948315,3.625559357,21.32573088,7.449310113
199,1214,Chile,CHL,2018,4.5068,1785.451,679,22.442,5.118720829,3.587894717,23.36676918,9.157251969
200,1215,Chile,CHL,2019,4.5446,1776.59,680,22.323,6.300226399,4.895221294,21.44032717,9.546549543
201,1216,Chile,CHL,2020,4.2462,1867.525,681,24.452,7.614843515,5.625540663,20.65732844,10.33838395
202,1242,China,CHN,1990,2.1114,107.752,707,4.418,0.002,0.002020202,126.7439726,0.064
203,1243,China,CHN,1991,2.1847,104.589,708,4.138,0.002,0.009090909,124.6889516,0.064
204,1244,China,CHN,1992,2.263,108.504,709,4.124,0.003,0.131313131,130.6860774,0.113
205,1245,China,CHN,1993,2.3971,124.858,710,4.451,0.004,0.212121212,151.8461646,0.117
206,1246,China,CHN,1994,2.5203,136.809,711,4.637,0.005,0.383838384,167.428969,0.46
207,1247,China,CHN,1995,2.706,156.511,712,5.192,0.007,0.616161616,190.58,3.014
208,1248,China,CHN,1996,2.7989,151.486,713,4.818,0.009,0.093939394,187.97,1.533
209,1249,China,CHN,1997,2.7814,157.616,714,5.025,0.011,0.197979798,195.98,2.722
210,1250,China,CHN,1998,2.6419,158.602,715,5.089,0.014,0.355555556,198.89,2.48
211,1251,China,CHN,1999,2.6144,155.746,716,4.865,0.017,0.473737374,196.58,2.52
212,1252,China,CHN,2000,2.6649,174.777,717,5.313,0.022,0.58989899,222.41,2.537
213,1253,China,CHN,2001,2.7056,216.094,718,6.22,0.031,0.719191919,277.43,2.554
214,1254,China,CHN,2002,2.9622,222.894,719,5.901,0.048,0.837373737,287.97,2.546
215,1255,China,CHN,2003,3.4555,218.411,720,4.983,0.064,0.996969697,283.68,2.536
216,1256,China,CHN,2004,3.9482,270.146,721,5.266,0.076,1.277777778,353.544,2.528
217,1257,China,CHN,2005,4.4159,303.86,722,5.219,0.084,1.946060606,397.017,5.322
218,1258,China,CHN,2006,4.8481,333.774,723,5.238,0.095,3.711818182,435.786,7.133
219,1259,China,CHN,2007,5.1847,372.008,724,5.367,0.114,5.479292929,485.264,9.863
220,1260,China,CHN,2008,5.5386,491.351,725,6.828,0.152,13.1,636.96,14.866
221,1261,China,CHN,2009,5.7939,488.108,726,6.507,0.279,27.61499783,615.644,20.85932
222,1262,China,CHN,2010,6.295,574.502,727,7.146,0.701,49.39962,711.38314,24.90023
223,1263,China,CHN,2011,6.9223,575.654,728,6.638,2.61,74.1,688.045,27.632
224,1264,China,CHN,2012,7.0623,722.126,729,7.997,3.5945099,103.0499065,862.79411,30.133
225,1265,China,CHN,2013,7.1506,785.542,730,8.394,8.3738865,138.2641332,909.6122734,37.133
226,1266,China,CHN,2014,7.1353,921.241,731,9.568,23.51216,159.7627,1059.69167,46.26822
227,1267,China,CHN,2015,7.0003,990.624,732,10.108,39.48057,185.59144,1114.51541,54.07029
228,1268,China,CHN,2016,6.8742,1076.901,733,10.795,66.52795,240.8605,1153.2675,62.134767
229,1269,China,CHN,2017,6.9812,1173.144,734,11.367,117.8,304.6,1165.065,79.59748421
230,1270,China,CHN,2018,7.2077,1285.549,735,12.024,176.9,365.8,1198.887,93.7238
231,1271,China,CHN,2019,7.3163,1405.067,736,12.74,224.0,405.3,1272.538,112.7238
232,1272,China,CHN,2020,7.4117,1518.167,737,13.429,261.1,466.5,1322.009109,135.5242
233,1312,Colombia,COL,2004,1.2969,948.047,777,33.078,0.007951726,0.05199,38.330058,0.467
234,1313,Colombia,COL,2005,1.4083,929.241,778,33.614,0.00953125,0.04948,39.220888,0.503
